task_name,task_id,issue_source,issue_reason
INFERENCE_MEMORY,6765f1c849a81fb3d201971e,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f1c84fdcad5ca243d300,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,6765f1c8be55548c291ea4fe,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,6765f1c8c745ff4d4ce0a0d5,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f4400af93a24e8fbe1f1,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f4400e0c1f56ddde8290,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f4401329ce7263214866,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,6765f44022031589ce9b3ff9,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
RELIABLE_VERSION_EDITING,6765f44022031589ce9b400b,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f4409308c5a618274ead,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f440a5d32b513353e98c,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f440e8fbb7dfee71d0ba,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,6765f440ef494d11e9e1046e,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f440f1e735f0958ee60f,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f440fb232242d4099147,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f440fd98ca5aac5e6f89,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f4467e4dcd5e2143350a,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f4890851d7926af70070,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f4890e0c1f56ddde82ed,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f48922031589ce9b4035,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f489376de3ec6fd5130c,llm,Ambiguous/Conflicting Evaluation Rubric - Self-contradiction
INFERENCE_MEMORY,6765f4897d2428f97c0c4497,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f4898601af1a428fea59,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,6765f489a02fd129919eef80,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f489b0ca0453b824ac54,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,6765f489d0cf10a192c5a493,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f489fd98ca5aac5e6faa,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f48a2ab4534794edf193,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f48a33f9e1448cddbca5,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,6765f48a376de3ec6fd51321,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f48a4421592a0e41c067,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,6765f48a5e92f1dda32a63e1,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f48a6c52e524f4a22e24,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f48aa02fd129919eef9e,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f48b5e92f1dda32a6402,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
SELF_COHERENCE,6765f48bbdcf6dda476f4b62,llm,Ambiguous/Conflicting Evaluation Rubric - Self-contradiction
SELF_COHERENCE,6765f48bfd98ca5aac5e6fca,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f48cef494d11e9e1048f,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f4907e4dcd5e2143352b,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f8391329ce7263214acc,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f83933f9e1448cddbeea,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f8397d2428f97c0c46db,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f839a02fd129919ef243,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f839f1e735f0958ee8f4,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f83a080ef69783e42884,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
RELIABLE_VERSION_EDITING,6765f83a0e0c1f56ddde8546,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f83a6c52e524f4a23067,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765f83aa5d32b513353ec07,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
SELF_COHERENCE,6765f83ad0cf10a192c5a680,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
RELIABLE_VERSION_EDITING,6765f83aef494d11e9e10701,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
RELIABLE_VERSION_EDITING,6765f83af1e735f0958ee912,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765f8400af93a24e8fbe493,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765fc5e0af93a24e8fbe4ee,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765fc5e10a01b847f90600a,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6765fc5e4421592a0e41c302,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,6765fc5ebdcf6dda476f4e22,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
RELIABLE_VERSION_EDITING,6765fc5eef494d11e9e1075c,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,6765fca36c52e524f4a230c6,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
