task_name,task_id,issue_source
ClimateBenchmark,ClimateBenchmark_159,manually
ClimateBenchmark,ClimateBenchmark_138,manually
ClimateBenchmark,ClimateBenchmark_150,manually
ClimateBenchmark,ClimateBenchmark_147,llm
ClimateBenchmark,ClimateBenchmark_175,manually
ClimateBenchmark,ClimateBenchmark_166,manually
ClimateBenchmark,ClimateBenchmark_182,manually
ClimateBenchmark,ClimateBenchmark_195,manually
ClimateBenchmark,ClimateBenchmark_179,manually
ClimateBenchmark,ClimateBenchmark_190,llm
ClimateBenchmark,ClimateBenchmark_158,manually
ABC,ABC_62,llm
ABC,ABC_61,llm
ABC,ABC_48,llm
ABC,ABC_60,llm
ABC,ABC_68,llm
ABC,ABC_70,llm
ABC,ABC_63,llm
ABC,ABC_87,llm
ABC,ABC_67,llm
ABC,ABC_90,manually
ABC,ABC_88,manually
ABC,ABC_137,manually
ABC,ABC_141,manually
ABC,ABC_140,manually
ABC,ABC_135,manually
ABC,ABC_121,manually
ABC,ABC_123,manually
ABC,ABC_130,manually
ABC,ABC_136,manually
ABC,ABC_139,manually
ABC,ABC_127,manually
ABC,ABC_138,manually
ABC,ABC_145,llm
LangChainRelational,LangChainRelational_0,llm
LangChainRelational,LangChainRelational_10,llm
LangChainRelational,LangChainRelational_16,llm
LangChainRelational,LangChainRelational_1,llm
ITType0Benchmark,ITType0Benchmark_18,llm
LangChainMath,LangChainMath_17,llm
LangChainMath,LangChainMath_12,llm
LangChainMath,LangChainMath_16,llm
TicketTracking,TicketTracking_10,llm
TicketTracking,TicketTracking_20,llm
TicketTracking,TicketTracking_0,llm
TicketTracking,TicketTracking_19,llm
TicketTracking,TicketTracking_29,llm
TicketTracking,TicketTracking_30,llm
TicketTracking,TicketTracking_28,llm
TicketTracking,TicketTracking_25,manually
TicketTracking,TicketTracking_60,manually
TicketTracking,TicketTracking_63,manually
TicketTracking,TicketTracking_55,llm
TicketTracking,TicketTracking_58,llm
TicketTracking,TicketTracking_45,llm
TicketTracking,TicketTracking_7,llm
TicketTracking,TicketTracking_26,llm
TicketTracking,TicketTracking_80,llm
TicketTracking,TicketTracking_68,llm
TicketTracking,TicketTracking_74,llm
TicketTracking,TicketTracking_72,llm
TicketTracking,TicketTracking_87,llm
TicketTracking,TicketTracking_66,llm
TicketTracking,TicketTracking_79,llm
TicketTracking,TicketTracking_86,llm
TicketTracking,TicketTracking_82,llm
TicketTracking,TicketTracking_85,llm
TicketTracking,TicketTracking_78,llm
TicketTracking,TicketTracking_40,llm
TicketTracking,TicketTracking_81,llm
TicketTracking,TicketTracking_88,llm
TicketTracking,TicketTracking_90,llm
TicketTracking,TicketTracking_75,llm
TicketTracking,TicketTracking_71,llm
ITType1Benchmark,ITType1Benchmark_7,llm
ITType1Benchmark,ITType1Benchmark_16,llm
ITType1Benchmark,ITType1Benchmark_111,llm
ITType1Benchmark,ITType1Benchmark_42,llm
ITType1Benchmark,ITType1Benchmark_64,llm
