Note that User Simulator few shot messages have been omitted
shape: (6, 8)
+-------------+--------+-------------+-------------+-------------+-------------+------------+-------------+
| sandbox_mes | sender | recipient   | content     | openai_func | tool_call_e | tool_trace | visible_to  |
|             |        |             | import sear |             |             |            |             |
|             |        |             | ch_messages |             |             |            |             |
|             |        |             | , send_mess |             |             |            |             |
|             |        |             | age_with_ph |             |             |            |             |
|             |        |             | one_number  |             |             |            |             |
|             |        |             | from tool_s |             |             |            |             |
|             |        |             | andbox.tool |             |             |            |             |
|             |        |             | s.rapid_api |             |             |            |             |
|             |        |             | _search_too |             |             |            |             |
|             |        |             | ls import   |             |             |            |             |
|             |        |             | convert_cur |             |             |            |             |
|             |        |             | rency, sear |             |             |            |             |
|             |        |             | ch_lat_lon, |             |             |            |             |
|             |        |             | search_loca |             |             |            |             |
|             |        |             | tion_around |             |             |            |             |
|             |        |             | _lat_lon,   |             |             |            |             |
|             |        |             | search_stoc |             |             |            |             |
|             |        |             | k, search_w |             |             |            |             |
|             |        |             | eather_arou |             |             |            |             |
|             |        |             | nd_lat_lon  |             |             |            |             |
|             |        |             | from tool_s |             |             |            |             |
|             |        |             | andbox.tool |             |             |            |             |
|             |        |             | s.reminder  |             |             |            |             |
|             |        |             | import add_ |             |             |            |             |
|             |        |             | reminder,   |             |             |            |             |
|             |        |             | modify_remi |             |             |            |             |
|             |        |             | nder, remov |             |             |            |             |
|             |        |             | e_reminder, |             |             |            |             |
|             |        |             | search_remi |             |             |            |             |
|             |        |             | nder        |             |             |            |             |
|             |        |             | from tool_s |             |             |            |             |
|             |        |             | andbox.tool |             |             |            |             |
|             |        |             | s.user_tool |             |             |            |             |
|             |        |             | s import    |             |             |            |             |
|             |        |             | end_convers |             |             |            |             |
|             |        |             | ation       |             |             |            |             |
|             |        |             | from tool_s |             |             |            |             |
|             |        |             | andbox.tool |             |             |            |             |
|             |        |             | s.utilities |             |             |            |             |
|             |        |             | import calc |             |             |            |             |
|             |        |             | ulate_lat_l |             |             |            |             |
|             |        |             | on_distance |             |             |            |             |
|             |        |             | , datetime_ |             |             |            |             |
|             |        |             | info_to_tim |             |             |            |             |
|             |        |             | estamp, get |             |             |            |             |
|             |        |             | _current_ti |             |             |            |             |
|             |        |             | mestamp,    |             |             |            |             |
|             |        |             | search_holi |             |             |            |             |
|             |        |             | day, second |             |             |            |             |
|             |        |             | s_to_hours_ |             |             |            |             |
|             |        |             | minutes_sec |             |             |            |             |
|             |        |             | onds, shift |             |             |            |             |
|             |        |             | _timestamp, |             |             |            |             |
|             |        |             | timestamp_d |             |             |            |             |
|             |        |             | iff, timest |             |             |            |             |
|             |        |             | amp_to_date |             |             |            |             |
|             |        |             | time_info,  |             |             |            |             |
|             |        |             | unit_conver |             |             |            |             |
|             |        |             | sion        |             |             |            |             |
|             |        |             |             |             |             |            |             |
|-------------+--------+-------------+-------------+-------------+-------------+------------+-------------|
| 1           | SYSTEM | AGENT       | Don't make  | null        | null        | null       | null        |
|             |        |             | assumptions |             |             |            |             |
|             |        |             | about what  |             |             |            |             |
|             |        |             | values to   |             |             |            |             |
|             |        |             | plug into   |             |             |            |             |
|             |        |             | functions.  |             |             |            |             |
|             |        |             | Ask for cla |             |             |            |             |
|             |        |             | rification  |             |             |            |             |
|             |        |             | if a user   |             |             |            |             |
|             |        |             | request is  |             |             |            |             |
|             |        |             | ambiguous.  |             |             |            |             |
|-------------+--------+-------------+-------------+-------------+-------------+------------+-------------|
| 14          | SYSTEM | USER        | You are no  | null        | null        | null       | null        |
|             |        |             | longer an   |             |             |            |             |
|             |        |             | assistant.  |             |             |            |             |
|             |        |             | From now on |             |             |            |             |
|             |        |             | role play   |             |             |            |             |
|             |        |             | as a user   |             |             |            |             |
|             |        |             | (User A)    |             |             |            |             |
|             |        |             | talking to  |             |             |            |             |
|             |        |             | another     |             |             |            |             |
|             |        |             | user (User  |             |             |            |             |
|             |        |             | B).         |             |             |            |             |
|             |        |             | Make sure   |             |             |            |             |
|             |        |             | you follow  |             |             |            |             |
|             |        |             | these instr |             |             |            |             |
|             |        |             | uctions:    |             |             |            |             |
|             |        |             |             |             |             |            |             |
|             |        |             | 0. DO NOT   |             |             |            |             |
|             |        |             | act as if   |             |             |            |             |
|             |        |             | you (User   |             |             |            |             |
|             |        |             | A) are an   |             |             |            |             |
|             |        |             | assistant.  |             |             |            |             |
|             |        |             | ALWAYS      |             |             |            |             |
|             |        |             | treat       |             |             |            |             |
|             |        |             | yourself as |             |             |            |             |
|             |        |             | a user      |             |             |            |             |
|             |        |             | (User A).   |             |             |            |             |
|             |        |             | Do not ask  |             |             |            |             |
|             |        |             | questions   |             |             |            |             |
|             |        |             | to the      |             |             |            |             |
|             |        |             | other user  |             |             |            |             |
|             |        |             | (User B).   |             |             |            |             |
|             |        |             | 1. Answer   |             |             |            |             |
|             |        |             | any         |             |             |            |             |
|             |        |             | question    |             |             |            |             |
|             |        |             | User B asks |             |             |            |             |
|             |        |             | you (User   |             |             |            |             |
|             |        |             | A)          |             |             |            |             |
|             |        |             | accurately. |             |             |            |             |
|             |        |             | Use only    |             |             |            |             |
|             |        |             | the         |             |             |            |             |
|             |        |             | information |             |             |            |             |
|             |        |             | provided.   |             |             |            |             |
|             |        |             | Do not make |             |             |            |             |
|             |        |             | up false    |             |             |            |             |
|             |        |             | information |             |             |            |             |
|             |        |             | .           |             |             |            |             |
|             |        |             | 2.  Use     |             |             |            |             |
|             |        |             | natural,    |             |             |            |             |
|             |        |             | short,      |             |             |            |             |
|             |        |             | casual      |             |             |            |             |
|             |        |             | language.   |             |             |            |             |
|             |        |             | 3.  If User |             |             |            |             |
|             |        |             | B says it   |             |             |            |             |
|             |        |             | could not   |             |             |            |             |
|             |        |             | complete    |             |             |            |             |
|             |        |             | the task,   |             |             |            |             |
|             |        |             | either      |             |             |            |             |
|             |        |             | provide     |             |             |            |             |
|             |        |             | more        |             |             |            |             |
|             |        |             | information |             |             |            |             |
|             |        |             | you (User   |             |             |            |             |
|             |        |             | A) posses,  |             |             |            |             |
|             |        |             | or ask it   |             |             |            |             |
|             |        |             | to use the  |             |             |            |             |
|             |        |             | tools it    |             |             |            |             |
|             |        |             | figure it   |             |             |            |             |
|             |        |             | out itself  |             |             |            |             |
|             |        |             | if you      |             |             |            |             |
|             |        |             | (User A)    |             |             |            |             |
|             |        |             | do not      |             |             |            |             |
|             |        |             | posses      |             |             |            |             |
|             |        |             | information |             |             |            |             |
|             |        |             | that could  |             |             |            |             |
|             |        |             | help.       |             |             |            |             |
|             |        |             | 4.  Allow   |             |             |            |             |
|             |        |             | User B to   |             |             |            |             |
|             |        |             | turn off    |             |             |            |             |
|             |        |             | low battery |             |             |            |             |
|             |        |             | mode, turn  |             |             |            |             |
|             |        |             | on cellular |             |             |            |             |
|             |        |             | service,    |             |             |            |             |
|             |        |             | wifi or     |             |             |            |             |
|             |        |             | location    |             |             |            |             |
|             |        |             | service     |             |             |            |             |
|             |        |             | in order to |             |             |            |             |
|             |        |             | complete    |             |             |            |             |
|             |        |             | the task.   |             |             |            |             |
|             |        |             | 5.  When    |             |             |            |             |
|             |        |             | User B      |             |             |            |             |
|             |        |             | completed   |             |             |            |             |
|             |        |             | the task,   |             |             |            |             |
|             |        |             | even if you |             |             |            |             |
|             |        |             | (User A)    |             |             |            |             |
|             |        |             | don't have  |             |             |            |             |
|             |        |             | enough      |             |             |            |             |
|             |        |             | information |             |             |            |             |
|             |        |             | to validate |             |             |            |             |
|             |        |             | the         |             |             |            |             |
|             |        |             | correctness |             |             |            |             |
|             |        |             | , break out |             |             |            |             |
|             |        |             | of role     |             |             |            |             |
|             |        |             | playing and |             |             |            |             |
|             |        |             | use the     |             |             |            |             |
|             |        |             | provided    |             |             |            |             |
|             |        |             | tool named  |             |             |            |             |
|             |        |             | `end_conver |             |             |            |             |
|             |        |             | sation` to  |             |             |            |             |
|             |        |             | stop        |             |             |            |             |
|             |        |             | the convers |             |             |            |             |
|             |        |             | ation.      |             |             |            |             |
|             |        |             | 6.  When    |             |             |            |             |
|             |        |             | User B      |             |             |            |             |
|             |        |             | cannot      |             |             |            |             |
|             |        |             | complete    |             |             |            |             |
|             |        |             | the request |             |             |            |             |
|             |        |             | after 5     |             |             |            |             |
|             |        |             | tries,      |             |             |            |             |
|             |        |             | break out   |             |             |            |             |
|             |        |             | of role     |             |             |            |             |
|             |        |             | playing and |             |             |            |             |
|             |        |             | use the     |             |             |            |             |
|             |        |             | provided    |             |             |            |             |
|             |        |             | tool named  |             |             |            |             |
|             |        |             | `end_conver |             |             |            |             |
|             |        |             | sation` to  |             |             |            |             |
|             |        |             | stop the    |             |             |            |             |
|             |        |             | conversatio |             |             |            |             |
|             |        |             | n.          |             |             |            |             |
|             |        |             |             |             |             |            |             |
|             |        |             | Answer User |             |             |            |             |
|             |        |             | B's         |             |             |            |             |
|             |        |             | questions   |             |             |            |             |
|             |        |             | given the   |             |             |            |             |
|             |        |             | following   |             |             |            |             |
|             |        |             | task you    |             |             |            |             |
|             |        |             | (User A)    |             |             |            |             |
|             |        |             | want User B |             |             |            |             |
|             |        |             | to          |             |             |            |             |
|             |        |             | complete:   |             |             |            |             |
|             |        |             | Search for  |             |             |            |             |
|             |        |             | the current |             |             |            |             |
|             |        |             | location.   |             |             |            |             |
|             |        |             | You do not  |             |             |            |             |
|             |        |             | have any    |             |             |            |             |
|             |        |             | more inform |             |             |            |             |
|             |        |             | ation.      |             |             |            |             |
|-------------+--------+-------------+-------------+-------------+-------------+------------+-------------|
| 15          | USER   | AGENT       | Where am I? | null        | null        | null       | null        |
|-------------+--------+-------------+-------------+-------------+-------------+------------+-------------|
| 16          | AGENT  | USER        | I don't     | null        | null        | null       | ["AGENT",   |
|             |        |             | currently   |             |             |            | "USER"]     |
|             |        |             | have access |             |             |            |             |
|             |        |             | to location |             |             |            |             |
|             |        |             | services    |             |             |            |             |
|             |        |             | that can    |             |             |            |             |
|             |        |             | determine   |             |             |            |             |
|             |        |             | your        |             |             |            |             |
|             |        |             | current     |             |             |            |             |
|             |        |             | position.   |             |             |            |             |
|             |        |             | The tools   |             |             |            |             |
|             |        |             | available   |             |             |            |             |
|             |        |             | to me can   |             |             |            |             |
|             |        |             | only check  |             |             |            |             |
|             |        |             | or change   |             |             |            |             |
|             |        |             | location    |             |             |            |             |
|             |        |             | service     |             |             |            |             |
|             |        |             | settings,   |             |             |            |             |
|             |        |             | but not     |             |             |            |             |
|             |        |             | actually    |             |             |            |             |
|             |        |             | retrieve    |             |             |            |             |
|             |        |             | your        |             |             |            |             |
|             |        |             | current     |             |             |            |             |
|             |        |             | location    |             |             |            |             |
|             |        |             | coordinates |             |             |            |             |
|             |        |             | .           |             |             |            |             |
|             |        |             |             |             |             |            |             |
|             |        |             | To find out |             |             |            |             |
|             |        |             | where you   |             |             |            |             |
|             |        |             | are, you    |             |             |            |             |
|             |        |             | might want  |             |             |            |             |
|             |        |             | to:         |             |             |            |             |
|             |        |             | - Use a     |             |             |            |             |
|             |        |             | maps app on |             |             |            |             |
|             |        |             | your device |             |             |            |             |
|             |        |             | - Check     |             |             |            |             |
|             |        |             | your        |             |             |            |             |
|             |        |             | device's    |             |             |            |             |
|             |        |             | built-in    |             |             |            |             |
|             |        |             | location    |             |             |            |             |
|             |        |             | services    |             |             |            |             |
|             |        |             | - Use a     |             |             |            |             |
|             |        |             | web-based   |             |             |            |             |
|             |        |             | location    |             |             |            |             |
|             |        |             | service in  |             |             |            |             |
|             |        |             | your        |             |             |            |             |
|             |        |             | browser     |             |             |            |             |
|             |        |             |             |             |             |            |             |
|             |        |             | Is there    |             |             |            |             |
|             |        |             | something   |             |             |            |             |
|             |        |             | else I can  |             |             |            |             |
|             |        |             | help you    |             |             |            |             |
|             |        |             | with        |             |             |            |             |
|             |        |             | regarding   |             |             |            |             |
|             |        |             | your device |             |             |            |             |
|             |        |             | settings,   |             |             |            |             |
|             |        |             | such as     |             |             |            |             |
|             |        |             | checking    |             |             |            |             |
|             |        |             | your WiFi   |             |             |            |             |
|             |        |             | status or   |             |             |            |             |
|             |        |             | battery     |             |             |            |             |
|             |        |             | mode?       |             |             |            |             |
|-------------+--------+-------------+-------------+-------------+-------------+------------+-------------|
| 17          | USER   | AGENT       | Could you   | null        | null        | null       | ["USER",    |
|             |        |             | use         |             |             |            | "AGENT"]    |
|             |        |             | location    |             |             |            |             |
|             |        |             | services on |             |             |            |             |
|             |        |             | your device |             |             |            |             |
|             |        |             | to find     |             |             |            |             |
|             |        |             | out?        |             |             |            |             |
+-------------+--------+-------------+-------------+-------------+-------------+------------+-------------+
